weights;province;district;community.damage;interviewer_sex;hhh_ethnolinguistic_group;hhh_marital_status;hhh_age;hhh_gender;hhh_disability;total_members;disability;breastfeeding;pregnant;chronic_ill;expenditures_food;expenditures_loan_repayments;expenditures_livestock;expenditures_agri_inputs;expenditures_health;expenditures_eduction;expenditures_shelter_materials_labour;expenditures_rent;expenditures_fuel;expenditures_clothing_hh_items;expenditures_transport;expenditures_comms;expenditures_other;expenditures_other_specify;expenditures_primary_source_expend;expenditures_primary_source_expend_other;expenditures_secondary_source_expend;expenditures_secondary_source_expend_other;expenditures_tertiary_source_expend;expenditures_tertiary_source_expend_other;assistance_assistance_amount;Assistance_Received_y_n;assistance_assistance_type;assistance_assistance_type_other;assistance_household_damage;assistance_shelter_status;assistance_damage_status;assistance_repair_status;assistance_barriers_to_rebuild;assistance_barriers_to_rebuild_other;assistance_accommodation_arrangment;assistance_wall_material;assistance_wall_material_other;assistance_roof_material;assistance_roof_material_other;assistance_rooms_hh;BBB_note;BBB_bbb_safe_site;BBB_bbb_foundation;BBB_bbb_corner_braces;BBB_bbb_plinth_bands;BBB_bbb_lintels;BBB_bbb_windows_door_safe_distance;BBB_bbb_drainage;BBB_bbb_landslide_flood_minimsed;BBB_female_living_space;BBB_livestock_livingspace;WASH_primary_drinking_water;WASH_primary_drinking_water_other;WASH_primary_latrine;WASH_primary_latrine_other;WASH_primary_latrine_status;WASH_solid_waste;WASH_solid_waste_other;priority_needs_priority_needs
0,143638295;Faryab;Sholgareh;Low community damage;Male;Arab;Married;23;Male;no;11;0;1;1;0;15000;2000;500;0;1500;2000;0;0;1500;1000;500;500;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;5;NA;no;no;not clear;no;yes;yes;yes;no;yes;no;handpump;NA;pit latrine covered;NA;latrine used;thrown out street;NA;employment
0,145896565;Sar e Pul;Sar e Pul;Low community damage;Male;Arab;Married;44;Male;no;8;0;3;0;0;9000;0;0;0;500;1500;0;0;2600;1600;2000;400;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;timber;NA;mud grass;NA;3;NA;yes;no;yes;no;yes;yes;yes;no;no;no;protected spring well;NA;pit latrine covered;NA;latrine used;buried;NA;employment
0,145896565;Faryab;Sholgareh;Low community damage;Male;Arab;Married;40;Male;no;9;0;2;0;0;6200;1200;500;800;1500;4500;200;0;2000;1200;500;400;0;NA;cash crop;NA;livestock farming;NA;unskilled daily labour;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;6;NA;no;yes;yes;no;yes;yes;yes;no;no;yes;tanker truck;NA;pit latrine open;NA;latrine used;collected;NA;agri livestock support
0,145896565;Faryab;Sar e Pul;Low community damage;Male;Arab;Married;32;Male;no;8;0;1;0;0;3000;1200;200;800;1800;4000;900;0;2000;1000;300;200;0;NA;unskilled daily labour;NA;cash crop;NA;livestock farming;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;6;NA;no;no;yes;no;yes;no;yes;no;no;yes;tanker truck;NA;pit latrine open;NA;latrine used;thrown out street;NA;agri livestock support
3,290842661;Sar e Pul;Sholgareh;Low community damage;Male;Arab;Married;55;Male;no;6;1;1;0;0;18000;20000;0;0;3000;1300;60000;0;2000;2000;2000;1200;0;NA;business sale goods services;NA;skilled daily labour;NA;no further source;NA;0;No;no assistance;NA;fully damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;timber;NA;mud grass;NA;5;NA;yes;no;no;yes;yes;yes;yes;yes;yes;no;surface water;NA;pit latrine covered;NA;latrine used;collected;NA;security
3,290842661;Takhar;Sholgareh;Low community damage;Male;Arab;Married;36;Male;no;6;0;0;0;0;15000;2000;4;15000;2500;0;0;0;2500;2000;800;500;0;NA;unskilled daily labour;NA;skilled daily labour;NA;no further source;NA;0;No;no assistance;NA;partially damaged;different site;no longer occupied;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;no;no;no;no;yes;yes;yes;yes;yes;no;protected spring well;NA;pit latrine open;NA;latrine used;thrown out street;NA;water sanitation
0,145896565;Takhar;Pul e khumri;Low community damage;Male;Arab;Married;44;Male;no;11;0;0;1;0;9000;1500;0;0;1500;0;0;0;1500;1000;600;250;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;different site;no longer occupied;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;no;no;yes;yes;yes;yes;yes;yes;yes;no;protected spring well;NA;pit latrine open;NA;latrine used;thrown out street;NA;water sanitation
2,281271713;Takhar;Sar e Pul;Low community damage;Male;Arab;Married;34;Male;no;6;1;1;0;1;2500;1000;1000;1000;4000;500;0;0;2000;2000;500;500;0;NA;formal employ;NA;no further source;NA;no further source;NA;12000;Yes;shelter assistance;NA;partially damaged;different site;no longer occupied;repairs ongoing;NA;NA;owned with documentation;bricks;NA;mud grass;NA;2;NA;no;no;yes;yes;yes;yes;yes;yes;yes;no;protected spring well;NA;pit latrine covered;NA;latrine used;buried;NA;water sanitation
3,290842661;Takhar;Khuram Sarbagh;Low community damage;Male;Arab;Married;57;Female;no;4;0;0;0;3;2000;1000;0;0;2500;500;0;0;2000;700;500;250;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;12000;Yes;shelter assistance;NA;fully damaged;different site;no longer occupied;repairs ongoing;NA;NA;owned with documentation;bricks;NA;mud grass;NA;2;NA;no;no;yes;yes;yes;yes;yes;yes;yes;no;handpump;NA;pit latrine covered;NA;latrine used;collected;NA;water sanitation
0,145896565;Takhar;Khuram Sarbagh;Low community damage;Male;Arab;Married;35;Female;no;9;0;0;1;0;10000;15000;0;0;3500;800;0;0;2500;700;500;250;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;fully damaged;different site;occupied fully damaged;repairs not started;NA;NA;owned with documentation;do not know;NA;do not know;NA;2;NA;yes;no;yes;no;yes;yes;yes;yes;yes;no;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Takhar;Khuram Sarbagh;Low community damage;Male;Arab;Married;45;Male;no;10;2;0;0;0;3000;1500;0;0;2000;0;0;1000;2000;8500;800;250;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;fully damaged;different site;no longer occupied;repairs not started;NA;NA;owned with documentation;do not know;NA;do not know;NA;2;NA;not clear;not clear;not clear;not clear;not clear;not clear;not clear;yes;yes;no;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Takhar;Argo;Low community damage;Male;Arab;Married;52;Male;no;10;0;0;0;1;3000;1000;0;0;1500;0;0;0;2500;1000;500;250;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;fully damaged;different site;occupied fully damaged;repairs not started;NA;NA;owned with documentation;handmade tent;NA;mud grass;NA;2;NA;no;yes;yes;no;not clear;not clear;not clear;yes;yes;no;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
1,093877156;Takhar;Khuram Sarbagh;Low community damage;Male;Arab;Married;42;Male;no;9;0;1;0;0;2500;3000;0;0;4500;0;0;0;2500;1500;1000;300;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;2000;Yes;shelter assistance;NA;fully damaged;different site;no longer occupied;repairs started on hold;no money for labour;NA;owned without documentation;bricks;NA;mud grass;NA;2;NA;no;no;yes;no;yes;yes;yes;yes;yes;no;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Takhar;Doshi;Low community damage;Male;Arab;Married;36;Male;no;8;0;1;1;0;9000;2000;0;0;3700;750;0;0;1300;950;2000;350;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;2000;Yes;nfi cash voucher;NA;fully damaged;different site;no longer occupied;repairs not started;NA;NA;owned without documentation;bricks;NA;mud grass;NA;2;NA;no;yes;yes;no;yes;yes;yes;yes;yes;no;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Sar e Pul;Pul e khumri;Low community damage;Male;Arab;Married;50;Male;no;9;0;0;1;0;6000;1000;0;0;0;0;0;0;800;800;400;500;0;NA;cash crop;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;timber;NA;mud grass;NA;2;NA;no;no;yes;no;yes;yes;no;no;no;no;protected spring well;NA;pit latrine covered;NA;latrine used;collected;NA;agri livestock support
0,145896565;Faryab;Khuram Sarbagh;Low community damage;Male;Tajik;Married;44;Male;no;9;0;0;0;1;5000;2000;480;980;3000;4000;1500;0;2800;1200;0;500;0;NA;cash crop;NA;livestock farming;NA;unskilled daily labour;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;5;NA;no;yes;yes;no;yes;yes;yes;no;no;no;unprotected spring well;NA;pit latrine open;NA;latrine used;thrown out street;NA;agri livestock support
3,290842661;Faryab;Sar e Pul;Low community damage;Male;Arab;Married;38;Male;no;8;0;0;1;0;3500;1000;900;250;1600;3600;1200;0;2000;1200;900;250;0;NA;skilled daily labour;NA;cash crop;NA;livestock farming;NA;0;No;no assistance;NA;fully damaged;different site;no longer occupied;repairs not started;NA;NA;free owners consent;other;Mud wall;mud grass;NA;3;NA;no;no;yes;no;yes;yes;yes;no;no;no;handpump;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Balkh;MaymaNA;Low community damage;Male;Arab;Married;56;Male;no;8;0;0;0;1;25000;0;16000;28000;12000;16000;350000;0;17000;14000;8000;7000;0;NA;cash crop;NA;livestock farming;NA;unskilled daily labour;NA;0;Yes;shelter assistance;NA;fully damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;other;Mud wall;mud grass;NA;7;NA;no;no;yes;no;yes;yes;yes;no;yes;yes;pipe municipal;NA;no facility;NA;latrine used;thrown out street;NA;shelter assistance
2,281271713;Balkh;Pul e khumri;Low community damage;Male;Arab;Married;30;Male;no;6;0;1;0;0;6000;0;1500;0;9000;4000;100000;0;11000;14000;6000;1100;0;NA;livestock farming;NA;business sale goods services;NA;unskilled daily labour;NA;0;Yes;shelter assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;4;NA;no;yes;yes;no;yes;yes;yes;yes;yes;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;training
3,290842661;Balkh;Pul e khumri;Low community damage;Male;Uzbek;Married;50;Male;no;10;0;1;0;0;8000;0;2000;0;4800;1500;120000;0;5000;3500;3000;500;0;NA;unskilled daily labour;NA;cash crop;NA;livestock farming;NA;0;Yes;shelter assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;other;Mud wall;mud grass;NA;4;NA;no;yes;yes;yes;yes;yes;yes;no;yes;yes;pipe municipal;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Balkh;Sholgareh;Low community damage;Male;Arab;Married;60;Male;no;8;0;1;0;0;30000;0;3000;0;4000;1500;30000;0;8000;6000;1000;1000;0;NA;unskilled daily labour;NA;skilled daily labour;NA;livestock farming;NA;0;Yes;shelter assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;other;Mud wall;mud grass;NA;6;NA;no;yes;yes;yes;yes;yes;yes;no;yes;yes;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;employment
0,145896565;Balkh;Sholgareh;Low community damage;Male;Arab;Married;40;Male;no;5;0;1;0;1;7000;0;0;0;5000;3000;90000;0;3500;4200;2500;1000;0;NA;unskilled daily labour;NA;skilled daily labour;NA;livestock farming;NA;0;Yes;shelter assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;other;Mud wall;mud grass;NA;3;NA;no;yes;yes;yes;yes;yes;yes;no;no;no;protected spring well;NA;pit latrine covered;NA;latrine used;thrown out street;NA;food
0,145896565;Sar e Pul;Khuram Sarbagh;Low community damage;Male;Arab;Married;60;Male;no;6;1;1;0;0;10000;5000;0;0;4000;2500;0;0;3000;2500;1000;500;5000;NA;skilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;timber;NA;mud grass;NA;3;NA;no;yes;yes;yes;yes;yes;yes;yes;yes;no;handpump;NA;pit latrine open;NA;latrine used;collected;NA;shelter assistance
3,538776045;Sar e Pul;Sar e Pul;Low community damage;Male;Arab;Married;54;Male;no;10;0;0;1;0;11000;5000;1500;0;3000;1500;0;0;2000;0;1000;500;1500;NA;formal employ;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;timber;NA;mud grass;NA;3;NA;no;no;no;no;yes;yes;yes;not clear;yes;yes;handpump;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Sar e Pul;Pul e khumri;Low community damage;Male;Arab;Married;25;Male;no;8;0;2;0;0;10000;3000;1500;0;2500;3000;0;0;2500;2000;1500;500;2000;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;timber;NA;mud grass;NA;2;NA;no;no;no;yes;yes;yes;yes;not clear;yes;yes;handpump;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Sar e Pul;Sayad;Low community damage;Male;Arab;Married;48;Male;no;6;1;1;0;0;12000;2000;1000;0;3000;2500;0;0;3000;2500;1500;500;2000;NA;formal employ;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;timber;NA;mud grass;NA;3;NA;no;no;no;yes;yes;yes;yes;not clear;yes;yes;handpump;NA;pit latrine open;NA;latrine used;collected;NA;shelter assistance
2,281271713;Sar e Pul;Sar e Pul;Low community damage;Male;Arab;Married;36;Male;yes;8;0;1;0;0;10000;2000;1000;0;1500;2500;0;0;2000;2000;1000;500;2000;NA;formal employ;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;timber;NA;mud grass;NA;2;NA;no;no;yes;yes;yes;yes;yes;yes;yes;yes;handpump;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
3,538776045;Balkh;MaymaNA;Low community damage;Male;Arab;Married;34;Male;yes;8;0;0;0;0;10000;0;0;0;0;200;0;0;1500;0;2000;300;0;NA;skilled daily labour;NA;business sale goods services;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;no;yes;yes;yes;yes;yes;yes;no;yes;no;pipe municipal;NA;pit latrine covered;NA;latrine used;thrown out street;NA;training
0,145896565;Balkh;Pul e khumri;Low community damage;Male;Arab;Married;44;Male;no;10;0;3;1;0;11000;4000;3000;1700;0;300;0;0;8000;1500;0;500;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;bricks;NA;mud grass;NA;5;NA;no;yes;yes;yes;yes;yes;yes;no;yes;yes;pipe municipal;NA;pit latrine covered;NA;latrine used;thrown out street;NA;training
5,415416037;Balkh;Doshi;Low community damage;Male;Arab;Married;40;Male;no;6;0;0;0;0;10000;0;300;0;2000;0;0;0;900;0;350;100;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;3;NA;no;yes;yes;yes;yes;no;yes;no;no;yes;pipe municipal;NA;pit latrine open;NA;latrine used;buried;NA;education
2,281271713;Balkh;Sar e Pul;Low community damage;Male;Arab;Married;45;Male;no;9;0;2;0;1;4000;0;500;0;5000;0;14000;0;1000;400;1000;500;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;3;NA;no;yes;yes;yes;yes;yes;yes;no;no;yes;pipe municipal;NA;pit latrine covered;NA;latrine used;buried;NA;employment
0,145896565;Balkh;Pul e khumri;Low community damage;Male;Arab;Married;35;Male;no;4;0;0;0;1;8000;9000;0;0;3500;0;0;0;7588;3600;1500;250;0;NA;unskilled daily labour;NA;business sale goods services;NA;business sale goods services;NA;0;No;no assistance;NA;fully damaged;different site;occupied fully damaged;repairs started on hold;no money for materials;NA;owned with documentation;bricks;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;no;yes;no;yes;no;pipe municipal;NA;pit latrine open;NA;latrine used;collected;NA;employment
0,145896565;Balkh;Khwaja Sabz Posh;Low community damage;Male;Arab;Divorced;61;Male;no;7;0;0;0;0;15000;0;2500;0;1000;3500;0;0;12000;1000;1500;500;0;NA;business sale goods services;NA;borrow loans;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;other;Mud wall;mud grass;NA;4;NA;yes;yes;yes;yes;yes;no;yes;no;yes;no;pipe municipal;NA;pit latrine open;NA;latrine used;collected;NA;security
0,145896565;Balkh;Taloqan;Low community damage;Male;Arab;Married;30;Male;no;9;0;0;0;0;7000;0;0;0;2800;0;0;0;8000;3700;2000;100;0;NA;unskilled daily labour;NA;skilled daily labour;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;other;Mud wall;mud grass;NA;3;NA;yes;yes;yes;yes;yes;no;yes;yes;no;no;pipe municipal;NA;pit latrine open;NA;latrine used;thrown out street;NA;employment
3,290842661;Balkh;Taloqan;Low community damage;Male;Arab;Married;27;Male;yes;8;0;0;1;0;6000;0;0;0;1500;0;0;0;6000;1200;600;100;0;NA;skilled daily labour;NA;borrow loans;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;2;NA;yes;yes;yes;yes;yes;yes;yes;no;no;no;pipe municipal;NA;pit latrine open;NA;latrine used;collected;NA;employment
0,143638295;Balkh;Dawlatabad;Low community damage;Male;Arab;Married;45;Male;no;7;0;1;0;0;3500;0;0;0;2000;500;0;0;2500;1000;600;250;0;NA;business sale goods services;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;other;Mud wall;mud grass;NA;3;NA;no;no;yes;yes;yes;yes;yes;no;yes;no;handpump;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
3,290842661;Balkh;Khuram Sarbagh;Low community damage;Male;Arab;Married;60;Male;no;11;0;1;0;0;8000;5000;25000;40000;3500;3500;0;0;4000;0;1000;250;0;NA;livestock farming;NA;business sale goods services;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs ongoing;NA;NA;owned with documentation;bricks;NA;mud grass;NA;6;NA;no;no;yes;no;yes;yes;yes;yes;yes;no;handpump;NA;pit latrine covered;NA;latrine used;buried;NA;agri livestock support
0,145896565;Balkh;Khuram Sarbagh;Low community damage;Male;Arab;Married;28;Male;no;11;0;2;0;0;4000;0;0;0;250;0;0;0;3000;0;600;250;0;NA;skilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;bricks;NA;mud grass;NA;3;NA;no;no;no;yes;yes;yes;yes;yes;yes;no;handpump;NA;pit latrine covered;NA;latrine used;thrown out street;NA;employment
0,145896565;Balkh;Khulm;Low community damage;Male;Arab;Married;32;Male;no;11;0;0;0;0;3000;0;0;0;1500;500;0;0;2000;0;0;50;0;NA;skilled daily labour;NA;no further source;NA;no further source;NA;0;Yes;other;Food, Blankets;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;3;NA;yes;yes;no;yes;yes;yes;yes;no;yes;no;pipe municipal;NA;pit latrine covered;NA;latrine used;thrown out street;NA;employment
0,145896565;Balkh;Khuram Sarbagh;Low community damage;Male;Arab;Married;40;Male;yes;10;0;2;1;0;9000;0;3000;25000;3000;200;0;0;6000;1500;1000;500;100000;Funeral Costs;skilled daily labour;NA;business sale goods services;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied no longer damaged;NA;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;7;NA;no;no;yes;yes;yes;yes;yes;no;yes;no;pipe municipal;NA;pit latrine covered;NA;latrine used;thrown out street;NA;agri livestock support
0,143638295;Samangan;MaymaNA;Low community damage;Male;Arab;Married;50;Male;no;9;1;0;0;0;15000;0;0;0;5000;6000;0;0;4000;7000;2500;1500;0;NA;skilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;free owners consent;stone;NA;mud grass;NA;3;NA;no;yes;no;yes;yes;yes;yes;no;no;no;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;health care
0,145896565;Samangan;MaymaNA;Low community damage;Male;Arab;Married;41;Male;no;7;0;1;0;0;9000;0;0;4000;3000;3000;0;3000;2000;4000;2500;1500;0;NA;cash crop;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;rented;stone;NA;mud grass;NA;3;NA;no;no;yes;yes;no;yes;yes;yes;no;no;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Samangan;Taloqan;Low community damage;Male;Arab;Married;56;Male;no;11;0;0;0;0;12000;0;0;0;4000;5000;0;0;3000;5000;3000;1000;0;NA;skilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;free owners consent;other;Mud wall;mud grass;NA;3;NA;no;not clear;no;yes;yes;yes;yes;yes;no;no;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;security
0,143638295;Samangan;Khuram Sarbagh;Low community damage;Male;Arab;Married;54;Male;yes;7;0;0;0;0;10000;0;5000;0;3000;4000;0;0;4000;5000;2000;1000;0;NA;livestock farming;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;free owners consent;other;Mud wall;mud grass;NA;2;NA;no;yes;no;yes;no;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;education
5,415416037;Samangan;Sar e Pul;Low community damage;Male;Arab;Married;49;Male;no;8;1;2;0;0;15000;0;0;6000;5000;4000;0;0;3000;5000;3000;2000;0;NA;cash crop;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned without documentation;stone;NA;mud grass;NA;3;NA;yes;no;yes;yes;yes;no;yes;yes;no;no;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;water sanitation
0,145896565;Samangan;Sholgareh;Low community damage;Male;Arab;Married;59;Male;no;9;0;1;1;0;8000;0;4000;0;3000;4000;0;0;3000;5000;3000;2000;0;NA;livestock farming;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;stone;NA;mud grass;NA;NA;NA;no;yes;no;yes;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;education
3,290842661;Samangan;MaymaNA;Low community damage;Male;Arab;Married;30;Male;no;9;0;0;1;0;8000;0;3000;0;4000;3000;0;0;2000;4000;2000;1000;0;NA;unskilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned without documentation;stone;NA;mud grass;NA;2;NA;no;yes;no;yes;yes;yes;no;yes;no;no;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;agri livestock support
0,143638295;Samangan;Doshi;Low community damage;Male;Arab;Married;35;Male;no;5;0;0;0;0;10000;0;3000;0;4000;5000;0;0;3000;4000;3000;2000;0;NA;livestock farming;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;different site;occupied partial damage;repairs started on hold;cannot reach markets expense;NA;owned without documentation;stone;NA;mud grass;NA;3;NA;no;yes;yes;no;no;no;yes;yes;no;yes;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;education
3,290842661;Samangan;Pul e khumri;Low community damage;Male;Arab;Divorced;34;Male;no;8;0;1;1;0;15000;0;5000;0;4000;3000;0;3000;4000;5000;3000;1500;0;NA;livestock farming;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;rented;bricks;NA;mud grass;NA;4;NA;no;yes;yes;yes;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;agri livestock support
3,538776045;Samangan;Pul e khumri;Low community damage;Male;Arab;Married;29;Male;no;10;0;0;1;0;15000;0;0;4000;3000;4000;500;3000;4000;5000;2500;1000;0;NA;cash crop;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;cannot reach markets insecurity;NA;rented;other;Mud wall;mud grass;NA;3;NA;no;yes;yes;yes;yes;yes;yes;yes;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
0,615700396;Samangan;Sar e Pul;Low community damage;Male;Arab;Married;37;Male;no;12;0;3;0;0;16000;0;5000;0;4000;6000;0;2500;4000;7000;4000;2000;0;NA;livestock farming;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;rented;stone;NA;mud grass;NA;4;NA;no;yes;no;yes;no;yes;no;yes;no;yes;surface water;NA;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
2,281271713;Samangan;Baharak (Badakhshan);Low community damage;Male;Arab;Married;25;Male;no;6;0;1;0;0;13000;0;3000;0;4000;4000;0;0;4000;4000;3000;1500;0;NA;livestock farming;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;free owners consent;stone;NA;mud grass;NA;2;NA;no;yes;yes;yes;yes;yes;no;no;no;yes;surface water;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
